Athlete,Time,Source,Rank
David Foster,10.06,Outdoor_Performance,1
Kaleb Simpson,10.07,Outdoor_Performance,2
Trayvion White-Austin,10.14,Outdoor_Performance,3
Antonio Laidler,10.19,Indiana_fastest_times_df,4
Tyson Tippett,10.26,Outdoor_Performance,5
Max Thomas,10.27,Outdoor_Performance,6
Christopher Grant,10.28,Indiana_fastest_times_df,7
Chrstyn John (JC) Stevenson,10.3,Outdoor_Performance,8
James Onanubosi,10.31,Outdoor_Performance,9
PJ Ize-Iyamu,10.33,Outdoor_Performance,10
Chase Williams,10.36,Outdoor_Performance,11
Luc Andrada,10.37,Outdoor_Performance,12
George Monroe,10.37,Outdoor_Performance,13
Mason Lawyer,10.4,Outdoor_Performance,14
Antonie Nortje,10.41,Outdoor_Performance,15
Mason Mangum ,10.44,Outdoor_Performance,16
Denzell Feagin,10.45,Outdoor_Performance,17
Ismail Turner,10.49,Outdoor_Performance,18
Deon McCauley,10.55,Outdoor_Performance,19
Trelee Banks,10.59,Indiana_fastest_times_df,20
Pierce Lacoste,10.62,Outdoor_Performance,21
Samuel Herenton,10.63,Outdoor_Performance,22
Dylan Davis,10.63,Outdoor_Performance,23
John Parades,10.64,Outdoor_Performance,24
Benjamin Kirk,10.66,Outdoor_Performance,25
Caleb Hagan,10.66,Outdoor_Performance,26
Christian Trapps,10.68,Outdoor_Performance,27
Samir Thota,10.71,Outdoor_Performance,28
Ray Brodie,11.0,Indiana_fastest_times_df,29
Gage Pratt,11.01,Indiana_fastest_times_df,30
